Phone timestamp;HR [bpm]
2022-04-25T11:39:02.323;66
2022-04-25T11:39:03.274;66
2022-04-25T11:39:04.301;66
2022-04-25T11:39:05.261;0
2022-04-25T11:39:06.253;0
2022-04-25T11:39:07.272;0
2022-04-25T11:39:08.260;0
2022-04-25T11:39:09.253;0
2022-04-25T11:39:10.243;0
2022-04-25T11:39:11.263;0
2022-04-25T11:39:12.251;0
2022-04-25T11:39:13.242;0
2022-04-25T11:39:14.261;0
2022-04-25T11:39:15.252;0
2022-04-25T11:39:16.271;0
2022-04-25T11:39:17.262;0
2022-04-25T11:39:18.251;0
2022-04-25T11:39:19.241;0
2022-04-25T11:39:20.261;0
2022-04-25T11:39:21.251;0
2022-04-25T11:39:22.242;0
2022-04-25T11:39:23.261;0
2022-04-25T11:39:24.251;0
2022-04-25T11:39:25.243;0
2022-04-25T11:39:26.295;0
2022-04-25T11:39:27.284;0
2022-04-25T11:39:28.242;0
2022-04-25T11:39:29.261;0
2022-04-25T11:39:30.253;0
2022-04-25T11:39:31.273;0
2022-04-25T11:39:32.261;0
2022-04-25T11:39:33.251;0
2022-04-25T11:39:34.240;0
2022-04-25T11:39:35.294;0
2022-04-25T11:39:36.283;0
2022-04-25T11:39:37.242;0
2022-04-25T11:39:38.291;0
2022-04-25T11:39:39.310;0
2022-04-25T11:39:40.272;0
2022-04-25T11:39:41.261;0
2022-04-25T11:39:42.251;0
2022-04-25T11:39:43.243;0
2022-04-25T11:39:44.262;0
2022-04-25T11:39:45.283;0
2022-04-25T11:39:46.331;0
2022-04-25T11:39:47.261;0
2022-04-25T11:39:48.252;0
2022-04-25T11:39:49.244;0
2022-04-25T11:39:50.274;0
2022-04-25T11:39:51.252;0
2022-04-25T11:39:52.301;0
2022-04-25T11:39:53.263;0
2022-04-25T11:39:54.254;0
2022-04-25T11:39:55.241;0
2022-04-25T11:39:56.263;0
2022-04-25T11:39:57.252;0
2022-04-25T11:39:58.268;0
2022-04-25T11:39:59.293;0
2022-04-25T11:40:00.280;0
2022-04-25T11:40:01.240;0
2022-04-25T11:40:02.260;51
2022-04-25T11:40:03.294;51
2022-04-25T11:40:04.240;51
2022-04-25T11:40:05.260;51
2022-04-25T11:40:06.282;51
2022-04-25T11:40:07.243;0
2022-04-25T11:40:08.264;0
2022-04-25T11:40:09.278;0
2022-04-25T11:40:10.258;0
2022-04-25T11:40:11.261;0
2022-04-25T11:40:12.251;0
2022-04-25T11:40:13.241;0
2022-04-25T11:40:14.261;0
2022-04-25T11:40:15.251;0
2022-04-25T11:40:16.241;0
2022-04-25T11:40:17.264;55
2022-04-25T11:40:18.252;55
2022-04-25T11:40:19.242;55
2022-04-25T11:40:20.263;55
2022-04-25T11:40:21.253;55
2022-04-25T11:40:22.273;53
2022-04-25T11:40:23.263;53
2022-04-25T11:40:24.267;53
2022-04-25T11:40:25.242;53
2022-04-25T11:40:26.263;60
2022-04-25T11:40:27.253;60
2022-04-25T11:40:28.282;60
2022-04-25T11:40:29.293;60
2022-04-25T11:40:30.251;60
2022-04-25T11:40:31.242;49
2022-04-25T11:40:32.339;49
2022-04-25T11:40:33.283;49
2022-04-25T11:40:34.241;49
2022-04-25T11:40:35.261;49
2022-04-25T11:40:36.251;49
2022-04-25T11:40:37.311;50
2022-04-25T11:40:38.291;50
2022-04-25T11:40:39.293;50
2022-04-25T11:40:40.273;50
2022-04-25T11:40:41.262;50
2022-04-25T11:40:42.255;48
2022-04-25T11:40:43.248;48
2022-04-25T11:40:44.291;48
2022-04-25T11:40:45.252;48
2022-04-25T11:40:46.241;48
2022-04-25T11:40:47.261;48
2022-04-25T11:40:48.253;48
2022-04-25T11:40:49.242;48
2022-04-25T11:40:50.264;48
2022-04-25T11:40:51.324;51
2022-04-25T11:40:52.243;51
2022-04-25T11:40:53.263;51
2022-04-25T11:40:54.267;51
2022-04-25T11:40:55.242;51
2022-04-25T11:40:56.270;51
2022-04-25T11:40:57.252;58
2022-04-25T11:40:58.243;58
2022-04-25T11:40:59.295;58
2022-04-25T11:41:00.253;58
2022-04-25T11:41:01.259;52
2022-04-25T11:41:02.276;52
2022-04-25T11:41:03.282;52
2022-04-25T11:41:04.242;52
2022-04-25T11:41:05.292;52
2022-04-25T11:41:06.283;52
2022-04-25T11:41:07.304;51
2022-04-25T11:41:08.262;51
2022-04-25T11:41:09.284;51
2022-04-25T11:41:10.241;51
2022-04-25T11:41:11.261;51
2022-04-25T11:41:12.251;47
2022-04-25T11:41:13.270;47
2022-04-25T11:41:14.265;47
2022-04-25T11:41:15.281;47
2022-04-25T11:41:16.241;47
2022-04-25T11:41:17.261;49
2022-04-25T11:41:18.253;49
2022-04-25T11:41:19.242;49
2022-04-25T11:41:20.260;49
2022-04-25T11:41:21.252;49
2022-04-25T11:41:22.243;53
2022-04-25T11:41:23.262;53
2022-04-25T11:41:24.252;53
2022-04-25T11:41:25.272;53
2022-04-25T11:41:26.262;53
2022-04-25T11:41:27.315;61
2022-04-25T11:41:28.241;61
2022-04-25T11:41:29.263;61
2022-04-25T11:41:30.323;61
2022-04-25T11:41:31.243;51
2022-04-25T11:41:32.261;51
2022-04-25T11:41:33.253;51
2022-04-25T11:41:34.243;51
2022-04-25T11:41:35.262;51
2022-04-25T11:41:36.254;53
2022-04-25T11:41:37.243;53
2022-04-25T11:41:38.290;53
2022-04-25T11:41:39.342;53
2022-04-25T11:41:40.304;53
2022-04-25T11:41:41.263;53
2022-04-25T11:41:42.284;52
2022-04-25T11:41:43.245;52
2022-04-25T11:41:44.272;52
2022-04-25T11:41:45.253;52
2022-04-25T11:41:46.241;49
2022-04-25T11:41:47.261;49
2022-04-25T11:41:48.281;49
2022-04-25T11:41:49.272;49
2022-04-25T11:41:50.265;49
2022-04-25T11:41:51.281;52
2022-04-25T11:41:52.536;52
2022-04-25T11:41:53.261;52
2022-04-25T11:41:54.284;52
2022-04-25T11:41:55.247;52
2022-04-25T11:41:56.443;52
2022-04-25T11:41:57.414;54
2022-04-25T11:41:58.273;54
2022-04-25T11:41:59.264;54
2022-04-25T11:42:00.256;54
2022-04-25T11:42:01.366;54
2022-04-25T11:42:02.266;53
2022-04-25T11:42:03.284;53
2022-04-25T11:42:04.244;53
2022-04-25T11:42:05.461;53
2022-04-25T11:42:06.325;0
2022-04-25T11:42:07.284;0
2022-04-25T11:42:08.272;0
2022-04-25T11:42:09.346;0
2022-04-25T11:42:10.244;0
2022-04-25T11:42:11.380;0
2022-04-25T11:42:12.315;56
2022-04-25T11:42:13.456;56
2022-04-25T11:42:14.265;56
2022-04-25T11:42:15.286;56
2022-04-25T11:42:16.244;56
2022-04-25T11:42:17.684;53
2022-04-25T11:42:18.258;53
2022-04-25T11:42:19.273;53
2022-04-25T11:42:20.294;53
2022-04-25T11:42:21.559;53
2022-04-25T11:42:22.276;51
2022-04-25T11:42:23.263;51
2022-04-25T11:42:24.253;51
2022-04-25T11:42:25.273;51
2022-04-25T11:42:26.263;51
2022-04-25T11:42:27.253;53
2022-04-25T11:42:28.243;53
2022-04-25T11:42:29.293;53
2022-04-25T11:42:30.252;53
2022-04-25T11:42:31.244;53
2022-04-25T11:42:32.263;57
2022-04-25T11:42:33.763;57
2022-04-25T11:42:34.451;57
2022-04-25T11:42:35.351;57
2022-04-25T11:42:36.252;57
2022-04-25T11:42:37.242;48
2022-04-25T11:42:38.353;48
2022-04-25T11:42:39.255;48
2022-04-25T11:42:40.272;48
2022-04-25T11:42:41.298;49
2022-04-25T11:42:42.364;49
2022-04-25T11:42:43.277;49
2022-04-25T11:42:44.323;49
2022-04-25T11:42:45.283;49
2022-04-25T11:42:46.336;49
2022-04-25T11:42:47.325;48
2022-04-25T11:42:48.254;48
2022-04-25T11:42:49.290;48
2022-04-25T11:42:50.295;48
2022-04-25T11:42:51.436;49
2022-04-25T11:42:52.250;49
2022-04-25T11:42:53.407;49
2022-04-25T11:42:54.284;49
2022-04-25T11:42:55.244;49
2022-04-25T11:42:56.296;48
2022-04-25T11:42:57.252;48
2022-04-25T11:42:58.272;48
2022-04-25T11:42:59.355;48
2022-04-25T11:43:00.313;48
2022-04-25T11:43:01.243;48
2022-04-25T11:43:02.265;51
2022-04-25T11:43:03.430;51
2022-04-25T11:43:04.340;51
2022-04-25T11:43:05.261;51
2022-04-25T11:43:06.292;50
2022-04-25T11:43:07.242;50
2022-04-25T11:43:08.260;50
2022-04-25T11:43:09.281;50
2022-04-25T11:43:10.242;50
2022-04-25T11:43:11.290;51
2022-04-25T11:43:12.250;51
2022-04-25T11:43:13.330;51
2022-04-25T11:43:14.293;51
2022-04-25T11:43:15.252;51
2022-04-25T11:43:16.243;51
2022-04-25T11:43:17.261;51
2022-04-25T11:43:18.283;51
2022-04-25T11:43:19.270;51
2022-04-25T11:43:20.291;51
2022-04-25T11:43:21.250;51
2022-04-25T11:43:22.242;50
2022-04-25T11:43:23.263;50
2022-04-25T11:43:24.254;50
2022-04-25T11:43:25.272;50
2022-04-25T11:43:26.262;50
2022-04-25T11:43:27.250;49
2022-04-25T11:43:28.242;49
2022-04-25T11:43:29.260;49
2022-04-25T11:43:30.281;49
2022-04-25T11:43:31.242;49
2022-04-25T11:43:32.261;55
2022-04-25T11:43:33.446;55
2022-04-25T11:43:34.241;55
2022-04-25T11:43:35.293;55
2022-04-25T11:43:36.283;55
2022-04-25T11:43:37.271;48
2022-04-25T11:43:38.261;48
2022-04-25T11:43:39.252;48
2022-04-25T11:43:40.275;48
2022-04-25T11:43:41.262;48
2022-04-25T11:43:42.256;56
2022-04-25T11:43:43.242;56
2022-04-25T11:43:44.265;56
2022-04-25T11:43:45.252;56
2022-04-25T11:43:46.243;56
2022-04-25T11:43:47.261;57
2022-04-25T11:43:48.252;57
2022-04-25T11:43:49.244;57
2022-04-25T11:43:50.294;57
2022-04-25T11:43:51.313;57
2022-04-25T11:43:52.309;60
2022-04-25T11:43:53.264;60
2022-04-25T11:43:54.310;60
2022-04-25T11:43:55.242;60
2022-04-25T11:43:56.293;56
2022-04-25T11:43:57.293;56
2022-04-25T11:43:58.243;56
2022-04-25T11:43:59.261;56
2022-04-25T11:44:00.252;56
2022-04-25T11:44:01.241;49
2022-04-25T11:44:02.261;49
2022-04-25T11:44:03.252;49
2022-04-25T11:44:04.240;49
2022-04-25T11:44:05.263;49
2022-04-25T11:44:06.250;49
2022-04-25T11:44:07.240;53
2022-04-25T11:44:08.262;53
2022-04-25T11:44:09.251;53
2022-04-25T11:44:10.271;53
2022-04-25T11:44:11.288;52
2022-04-25T11:44:12.251;52
2022-04-25T11:44:13.243;52
2022-04-25T11:44:14.327;52
2022-04-25T11:44:15.256;52
2022-04-25T11:44:16.241;51
2022-04-25T11:44:17.343;51
2022-04-25T11:44:18.252;51
2022-04-25T11:44:19.244;51
2022-04-25T11:44:20.263;51
2022-04-25T11:44:21.280;51
2022-04-25T11:44:22.241;52
2022-04-25T11:44:23.262;52
2022-04-25T11:44:24.284;52
2022-04-25T11:44:25.272;52
2022-04-25T11:44:26.263;52
2022-04-25T11:44:27.253;54
2022-04-25T11:44:28.299;54
2022-04-25T11:44:29.292;54
2022-04-25T11:44:30.252;54
2022-04-25T11:44:31.273;54
2022-04-25T11:44:32.271;56
2022-04-25T11:44:33.253;56
2022-04-25T11:44:34.243;56
2022-04-25T11:44:35.262;56
2022-04-25T11:44:36.364;56
2022-04-25T11:44:37.241;55
2022-04-25T11:44:38.323;55
2022-04-25T11:44:39.251;55
2022-04-25T11:44:40.272;55
2022-04-25T11:44:41.265;55
2022-04-25T11:44:42.251;56
2022-04-25T11:44:43.254;56
2022-04-25T11:44:44.263;56
2022-04-25T11:44:45.304;56
2022-04-25T11:44:46.241;56
2022-04-25T11:44:47.291;51
2022-04-25T11:44:48.251;51
2022-04-25T11:44:49.273;51
2022-04-25T11:44:50.405;51
2022-04-25T11:44:51.305;51
2022-04-25T11:44:52.241;54
2022-04-25T11:44:53.262;54
2022-04-25T11:44:54.266;54
2022-04-25T11:44:55.323;54
2022-04-25T11:44:56.261;54
2022-04-25T11:44:57.282;56
2022-04-25T11:44:58.301;56
2022-04-25T11:44:59.324;56
2022-04-25T11:45:00.253;56
2022-04-25T11:45:01.242;54
2022-04-25T11:45:02.260;54
2022-04-25T11:45:03.252;54
2022-04-25T11:45:04.272;54
2022-04-25T11:45:05.263;54
